companyName,cik,symbol,targetedCompanyName,targetedCik,targetedSymbol,transactionDate,acceptanceTime,url
PATHFINDER ACQUISITION CORP,0001839132,PFDR,PATHFINDER ACQUISITION CORPORATION,0001839132,PFDRU,2021-08-12,2021-08-12 17:15:31,https://www.sec.gov/Archives/edgar/data/1839132/000119312521244881/d207679ds4.htm
PATHFINDER ACQUISITION CORP,0001839132,PFDRU,PATHFINDER ACQUISITION CORPORATION,0001839132,PFDR,2021-08-12,2021-08-12 17:15:31,https://www.sec.gov/Archives/edgar/data/1839132/000119312521244881/d207679ds4.htm
PATHFINDER ACQUISITION CORP,0001839132,PFDRW,PATHFINDER ACQUISITION CORPORATION,0001839132,PFDRU,2021-08-12,2021-08-12 17:15:31,https://www.sec.gov/Archives/edgar/data/1839132/000119312521244881/d207679ds4.htm
"VACASA, INC.",0001874944,VCSA,RULE,,TPGS,2021-08-11,2021-08-11 21:20:36,https://www.sec.gov/Archives/edgar/data/1874944/000110465921103706/tm2124386-1_s4.htm
"CORE SCIENTIFIC, INC./TX",0001839341,CORZ,"CORE SCIENTIFIC, INC.",0001839341,CORZW,2021-08-11,2021-08-11 16:34:37,https://www.sec.gov/Archives/edgar/data/1839341/000119312521243436/d172159ds4.htm
"CORE SCIENTIFIC, INC./TX",0001839341,CORZW,"CORE SCIENTIFIC, INC.",0001839341,CORZ,2021-08-11,2021-08-11 16:34:37,https://www.sec.gov/Archives/edgar/data/1839341/000119312521243436/d172159ds4.htm
"HBT FINANCIAL, INC.",0000775215,HBT,NXT BANK,,,2021-08-11,2021-08-11 07:01:30,https://www.sec.gov/Archives/edgar/data/775215/000110465921103165/tm2124507-1_s4.htm
"ALTUS POWER, INC.",0001828723,AMPS-WT,"CBRE ACQUISITION HOLDINGS, INC.",0001828723,CBAH,2021-08-11,2021-08-11 06:46:34,https://www.sec.gov/Archives/edgar/data/1828723/000119312521242591/d198251ds4.htm
"ALTUS POWER, INC.",0001828723,AMPS,"CBRE ACQUISITION HOLDINGS, INC.",0001828723,CBAH,2021-08-11,2021-08-11 06:46:34,https://www.sec.gov/Archives/edgar/data/1828723/000119312521242591/d198251ds4.htm
"GELESIS HOLDINGS, INC.",0001805087,GLS-WT,"GELESIS HOLDINGS, INC.",0001805087,GLS,2021-08-10,2021-08-10 17:24:33,https://www.sec.gov/Archives/edgar/data/1805087/000110465921102963/tm2122708-1_s4.htm
"GELESIS HOLDINGS, INC.",0001805087,GLS,"WORTHINGTON STEEL, INC.",0001968487,WS,2021-08-10,2021-08-10 17:24:33,https://www.sec.gov/Archives/edgar/data/1805087/000110465921102963/tm2122708-1_s4.htm
